MAE,MAE_normalized,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,min_gain_to_split,n_estimators,num_leaves,subsample,train_all_previous,target_quantile,remove_overlap_chunks
2.0843893816476458,2.0843893816476458,0.8,0.9,0.2,0.01,16,60,0.001,2000,14,0.8,True,True,False
2.083710934933116,2.083710934933116,0.9,0.2,0.2,0.02,12,20,0.0,1500,14,0.7,True,True,False
2.0878061498123643,2.0878061498123643,0.8,0.1,0.0,0.02,-1,60,0.0,1000,10,0.8,True,True,False
2.085520570954802,2.085520570954802,1.0,0.4,0.6,0.05,16,20,0.0,1000,12,0.8,True,True,False
2.1127961446505474,2.1127961446505474,0.9,0.2,0.6,0.01,8,40,0.01,1000,10,0.8,False,True,False
2.086310615824019,2.086310615824019,1.0,0.1,0.0,0.05,-1,60,0.1,1500,16,0.6,True,True,False
2.099072663645071,2.099072663645071,0.9,0.1,0.4,0.02,-1,60,0.1,1500,14,0.6,False,True,False
2.082047102718426,2.082047102718426,0.9,0.4,0.6,0.02,16,10,0.01,2000,10,0.9,True,True,False
2.0841470304701417,2.0841470304701417,0.9,0.4,0.2,0.05,8,40,0.01,2000,10,0.7,True,True,False
2.103356865661911,2.103356865661911,0.8,0.2,0.2,0.05,16,40,0.001,2000,10,0.6,False,True,False
2.079552537851675,2.079552537851675,0.8,0.1,0.0,0.02,12,20,0.001,2000,14,0.7,True,True,False
2.10474458824187,2.10474458824187,1.0,0.2,0.0,0.01,-1,60,0.01,2000,18,0.7,False,True,False
2.0834298195218697,2.0834298195218697,1.0,0.4,0.4,0.02,8,40,0.01,2000,12,0.6,True,True,False
2.102588129223314,2.102588129223314,0.8,0.4,0.0,0.02,-1,20,0.001,1500,12,0.7,False,True,False
2.0996970320355537,2.0996970320355537,0.9,0.1,0.6,0.02,12,10,0.01,1000,16,0.9,False,True,False
2.080514511615919,2.080514511615919,0.8,0.9,0.9,0.05,-1,10,0.001,2000,18,0.8,True,True,False
2.081619674421608,2.081619674421608,0.9,0.9,0.0,0.05,8,10,0.01,2000,10,0.8,True,True,False
2.0878323811399495,2.0878323811399495,0.8,0.4,0.0,0.01,8,20,0.001,1000,14,0.6,True,True,False
2.101907943949219,2.101907943949219,0.9,0.9,0.2,0.02,12,10,0.0,1000,14,0.6,False,True,False
2.080352534042675,2.080352534042675,0.8,0.9,0.4,0.02,8,40,0.0,1500,16,0.9,True,True,False
2.0854246079672443,2.0854246079672443,0.9,0.4,0.1,0.01,-1,40,0.01,2000,10,0.9,True,True,False
2.1014697253633363,2.1014697253633363,1.0,0.1,0.1,0.02,8,60,0.1,2000,16,0.6,False,True,False
2.1006634869055403,2.1006634869055403,0.8,0.6,0.0,0.05,8,10,0.01,1500,10,0.7,False,True,False
2.1024210149254103,2.1024210149254103,0.9,0.1,0.1,0.05,-1,40,0.1,2000,10,0.6,False,True,False
2.099288734782618,2.099288734782618,0.8,0.6,0.4,0.02,8,40,0.01,1500,14,0.7,False,True,False
2.087197373406403,2.087197373406403,0.8,0.0,0.4,0.01,16,10,0.01,1000,18,0.8,True,True,False
2.114256155881448,2.114256155881448,1.0,0.6,0.2,0.01,12,10,0.01,1000,12,0.7,False,True,False
2.088104677659235,2.088104677659235,0.9,0.6,0.6,0.01,16,40,0.1,1500,12,0.8,True,True,False
2.081396080023265,2.081396080023265,0.8,0.1,0.2,0.01,12,10,0.0,1500,12,0.8,True,True,False
2.101841271969809,2.101841271969809,1.0,0.0,0.0,0.05,8,20,0.1,1500,10,0.9,False,True,False
2.105521254958525,2.105521254958525,0.8,0.9,0.1,0.01,12,10,0.0,1000,16,0.8,False,True,False
2.0803076040372117,2.0803076040372117,0.8,0.0,0.6,0.05,8,40,0.1,1500,14,0.9,True,True,False
2.101054630142581,2.101054630142581,0.8,0.4,0.4,0.05,8,40,0.1,1000,14,0.6,False,True,False
2.10042325881847,2.10042325881847,0.8,0.1,0.6,0.05,-1,40,0.001,2000,14,0.6,False,True,False
2.085404369738149,2.085404369738149,0.8,0.9,0.9,0.05,12,60,0.1,1000,16,0.8,True,True,False
2.1049031329382752,2.1049031329382752,1.0,0.0,0.2,0.05,12,40,0.001,2000,12,0.7,False,True,False
2.1096914364089097,2.1096914364089097,0.8,0.0,0.4,0.01,16,20,0.001,1000,10,0.8,False,True,False
2.0935905739851925,2.0935905739851925,1.0,0.2,0.1,0.01,8,20,0.001,1000,12,0.8,True,True,False
2.0866332305898987,2.0866332305898987,0.9,0.1,0.1,0.02,12,40,0.1,1000,16,0.6,True,True,False
2.1003867915061245,2.1003867915061245,0.9,0.2,0.0,0.02,16,40,0.1,1500,18,0.9,False,True,False
