MAE,MAE_normalized,chunk_blocks,encoding_dropout,encoding_input_dropout,encoding_layers,gru_dropout,include_cpc_features,initial_lr,prediction_layers,recurrent_cells,reduce_lr_patience,relu_last_encoding_layer,train_last_part_loss_frac,train_all_previous,target_quantile
2.0878730498711398,2.0878730498711398,80,0.25,0.25,"[32, 32]",0.25,True,0.0003,"[32, 16]","[16, 16, 16]",1,False,0.2,True,True
2.1044338213130547,2.1044338213130547,80,0.25,0.25,"[32, 32]",0.0,False,0.001,[32],[32],1,True,0.2,True,True
2.0689210732880805,2.0689210732880805,100,0.0,0.25,[32],0.5,True,0.0003,"[8, 8]","[16, 16, 16]",3,False,0.2,True,True
2.1041237444676684,2.1041237444676684,80,0.0,0.25,"[32, 32]",0.0,False,0.0003,"[8, 8]","[8, 8]",3,False,0.1,True,True
2.081535477506063,2.081535477506063,80,0.25,0.0,"[32, 32]",0.5,True,0.0001,[8],"[8, 8]",3,False,0.2,True,True
2.10692987284647,2.10692987284647,80,0.25,0.25,"[32, 32]",0.25,False,0.001,"[8, 8]","[32, 16]",1,False,0.1,True,True
2.14401532269419,2.14401532269419,100,0.0,0.0,"[32, 32]",0.5,True,0.001,[8],[32],3,False,0.1,True,True
2.096484146772517,2.096484146772517,80,0.0,0.25,"[32, 32]",0.25,True,0.0003,"[32, 16]","[32, 16]",3,True,0.2,True,True
2.0575517087182686,2.0575517087182686,100,0.25,0.25,[32],0.25,True,0.0003,"[8, 8]","[64, 32]",1,True,0.4,True,True
2.1265345451949655,2.1265345451949655,80,0.25,0.0,"[32, 32]",0.0,False,0.001,[8],"[16, 16, 16]",3,False,0.2,True,True
2.082756252395118,2.082756252395118,80,0.0,0.0,[32],0.0,True,0.0003,"[64, 32]","[8, 8]",1,True,0.4,True,True
2.0926323269268017,2.0926323269268017,80,0.25,0.0,[32],0.0,True,0.0003,"[64, 32]","[16, 16, 16]",3,False,0.1,True,True
2.0561809679446577,2.0561809679446577,100,0.0,0.25,[32],0.0,True,0.0003,"[64, 32]","[64, 32]",3,True,0.1,True,True
2.0694745809979698,2.0694745809979698,80,0.0,0.25,[32],0.25,True,0.001,[32],[8],1,False,0.2,True,True
2.086009401899234,2.086009401899234,80,0.25,0.0,"[32, 32]",0.0,False,0.0003,"[64, 32]","[32, 16]",1,True,0.4,True,True
2.1136410260901024,2.1136410260901024,80,0.25,0.25,"[32, 32]",0.25,False,0.0003,"[64, 32]","[32, 16]",3,False,0.4,True,True
2.0909625779404366,2.0909625779404366,80,0.25,0.25,[32],0.0,False,0.0001,[32],[8],5,False,0.4,True,True
2.080523976689927,2.080523976689927,80,0.25,0.0,"[32, 32]",0.5,False,0.0003,"[8, 8]",[8],1,False,0.1,True,True
2.0553333900329425,2.0553333900329425,100,0.25,0.0,[32],0.0,True,0.0003,"[32, 16]","[32, 16]",3,True,0.2,True,True
2.115124485573234,2.115124485573234,80,0.25,0.25,[32],0.25,False,0.001,"[32, 16]","[8, 8]",3,False,0.1,True,True
